level2_id,root_id,classification
162014208060293152,864691135162983725,myelinated
175871077354832873,864691135162983725,myelinated
175871077354832873,864691135162983725,myelinated
175800708610655299,864691135162983725,myelinated
175800708610655299,864691135162983725,myelinated
175800708677763083,864691135162983725,myelinated
175800639958286398,864691135162983725,myelinated
175800639958286398,864691135162983725,myelinated
175730339933585519,864691135162983725,myelinated
175730339933585519,864691135162983725,myelinated
175730339933585519,864691135162983725,myelinated
175659971189407999,864691135162983725,myelinated
175659971189407999,864691135162983725,myelinated
175659971189407999,864691135162983725,myelinated
175589602445230500,864691135162983725,myelinated
175589602445230500,864691135162983725,myelinated
175589602445230500,864691135162983725,myelinated
175519233701052911,864691135162983725,myelinated
175519233701052892,864691135162983725,myelinated
175519233701052892,864691135162983725,myelinated
175448864956875272,864691135162983725,myelinated
175448864956875272,864691135162983725,myelinated
175448933676352039,864691135162983725,myelinated
175448933676352039,864691135162983725,myelinated
175378496212697573,864691135162983725,myelinated
175378564932174250,864691135162983725,myelinated
175308127468519991,864691135162983725,myelinated
175308196187996672,864691135162983725,myelinated
175308196187996672,864691135162983725,myelinated
175237827443819316,864691135162983725,myelinated
175237827443819316,864691135162983725,myelinated
175237827443819316,864691135162983725,myelinated
161943839316115499,864691135162983725,myelinated
189319823153431168,864691135162983725,myelinated
189390123178132093,864691135162983725,myelinated
189390123178132093,864691135162983725,myelinated
189460491922309889,864691135162983725,myelinated
189460560641786511,864691135162983725,myelinated
189530860666487535,864691135162983725,myelinated
189530860666487535,864691135162983725,myelinated
189601298130141824,864691135162983725,myelinated
189601229410665180,864691135162983725,myelinated
189671598154842819,864691135162983725,myelinated
189671598154842819,864691135162983725,myelinated
189671666874319496,864691135162983725,myelinated
189741966899020493,864691135162983725,myelinated
189742035618497216,864691135162983725,myelinated
189812335643198183,864691135162983725,myelinated
189812335643198183,864691135162983725,myelinated
189882704387375949,864691135162983725,myelinated
189882704387375949,864691135162983725,myelinated
189953073131553488,864691135162983725,myelinated
189953073131553488,864691135162983725,myelinated
190023441875731163,864691135162983725,myelinated
190023441875731163,864691135162983725,myelinated
190093810619908865,864691135162983725,myelinated
190093810619908865,864691135162983725,myelinated
190164179364086663,864691135162983725,myelinated
190164179364086707,864691135162983725,myelinated
190164248083563246,864691135162983725,myelinated
190164248150671363,864691135162983725,myelinated
